PROCESSEUR,
Modèle du processeur	,"Intel Core i5-4308U
"
Nombre de cœurs	,2
Fréquence de base,"2,80 GHz"
Fréquence turbo maxi,"3,30 GHz"
CARTE GRAPHIQUE,
Dédiée,Non
Carte graphique,Intel Iris Graphics
"MÉMOIRE VIVE (RAM)
",
Type de mémoire,SDRAM LPDDR3
RAM,8 Go
Fréquence,1600 MHz
STOCKAGE,
Type de stockage,Fusion Drive
Stockage,1 To
MULTIMÉDIA,
Lecteur de carte mémoire	,SDXC
Nombre d'écrans pris en charge,2
CONNECTIVITÉ,
Ethernet,"Gigabit (10/100/1000)
"
WiFi,802.11 ac
Bluetooth,4.0
CONNECTIQUE,
Arrière,"2 x Port Thunderbolt 2 (jusqu’à 20 Gbit/s)
4 x Ports USB 3 (jusqu’à 5 Gbit/s)
1 x Port HDMI
1 x Port Ethernet Gigabit
1 x Entrée audio
1 x Prise casque
1 x Récepteur infrarouge
1 x Lecteur de carte SDXC"
" LOGICIELS FOURNIS",
Système d'exploitation	,Apple OS X 10.11 El Capitan
Applications intégrées	,"AirDrop, AirPlay, Dictée, Instant Hotspot, iCloud, Mission Control, iPhoto, iMovie, GarageBand, Pages, Numbers, Keynote, Plans, iBooks, Safari, Mail, FaceTime, Messages, Calendrier, Contacts, Rappels, Time Machine, Photo Booth, iTunes, Game Center, Notes
"
MATÉRIEL,
Couleur dominante,Gris
Dimensions,"Hauteur : 3,6 cm
Largeur : 19,7 cm
Profondeur : 19,7 cm"
Poids,"1,22 kg"
Livré avec	,"Cordon d’alimentation
"
